Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
inaki-williams,Athletic Bilbao,ESP,25,186 cm,Right,F,9,46M €,27,25,82,6,367 min,0.2,1.1,6,0,32.1,4,0.8,13.1 (75%),3.8 (85%),9.7 (67%),0.4 (59%),0.4 (73%),0.4 (26%),0.1,0.4,0.5,0.4,0.8,0,0,0,1.4 (57%),4.8 (48%),3.1 (47%),1.7 (51%),11.2,0.7,1.3,0.7,2,0,0
asier-villalibre,Athletic Bilbao,ESP,22,183 cm,Left,F,25,4.1M €,9,4,38,1,340 min,0.1,0.9,2,0,13.8,0,0.0,4.4 (63%),1.1 (83%),3.3 (52%),0.2 (100%),0.0 (0%),0.0 (0%),0.1,0.0,0.1,0.3,0.1,0,0,0,0.4 (50%),3.6 (48%),1.4 (41%),2.1 (54%),5.9,0.9,1.0,0.6,0,0,0
kenan-kodro,Athletic Bilbao,BIH,26,187 cm,Right,F,23,970K €,7,4,48,1,334 min,0.1,0.3,1,0,13.7,0,0.1,6.0 (65%),2.1 (83%),3.9 (56%),0.1 (50%),0.0 (0%),0.0 (0%),0.0,0.1,0.1,0.3,0.6,0,0,0,0.3 (100%),3.7 (51%),1.1 (47%),2.6 (53%),5.1,0.7,0.9,0.4,0,0,0
aritz-aduriz,Athletic Bilbao,ESP,39,183 cm,Right,F,20,None,14,0,15,1,213 min,0.07,0.5,2,0,6.1,0,0.0,2.3 (57%),0.6 (67%),1.7 (55%),0.1 (50%),0.1 (33%),0.0 (0%),0.0,0.2,0.1,0.0,0.1,0,0,0,0.1 (50%),1.9 (57%),0.4 (38%),1.5 (64%),2.5,0.5,0.1,0.0,3,0,0
iker-muniain,Athletic Bilbao,ESP,27,169 cm,Right,M,10,16.9M €,20,17,79,4,395 min,0.2,0.9,2,2,49.0,2,1.5,28.7 (86%),8.6 (92%),20.5 (79%),1.3 (81%),1.1 (75%),0.4 (18%),0.4,0.9,0.7,0.6,0.2,0,0,0,2.1 (60%),5.4 (52%),4.9 (53%),0.5 (40%),10.8,0.9,2.0,0.1,0,0,1
raul-garcia,Athletic Bilbao,ESP,33,184 cm,Right,M,22,7.3M €,25,24,84,9,232 min,0.4,2.0,4,1,43.2,1,0.7,15.4 (56%),4.4 (72%),11.2 (49%),0.7 (28%),0.7 (34%),0.2 (15%),0.7,1.7,0.6,1.7,1.3,0,0,0,0.2 (32%),9.6 (52%),3.5 (44%),6.0 (59%),16.5,2.3,1.7,0.6,8,0,0
dani-garcia,Athletic Bilbao,ESP,29,180 cm,Right,M,14,5.5M €,26,25,88,0,0.0,0.4,1,0,52.4,0,0.4,33.8 (81%),18.9 (88%),15.0 (74%),4.2 (60%),2.2 (59%),0.0 (25%),1.5,1.8,0.5,1.7,1.5,0,0,0,0.3 (69%),5.1 (50%),3.2 (46%),1.9 (60%),9.5,1.7,1.1,0.0,6,0,0,
mikel-san-jose,Athletic Bilbao,ESP,30,188 cm,Right,M,6,5.5M €,3,1,36,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inigo-cordoba,Athletic Bilbao,ESP,23,178 cm,Left,M,11,4.4M €,14,13,62,1,867 min,0.07,0.9,2,2,31.6,1,0.6,13.6 (75%),4.8 (74%),9.1 (68%),0.3 (40%),0.1 (25%),0.3 (17%),0.5,1.5,0.5,1.9,0.1,0,0,0,0.6 (40%),3.6 (38%),2.9 (37%),0.6 (43%),9.8,1.5,0.9,0.3,4,0,0
ibai-gomez,Athletic Bilbao,ESP,30,177 cm,Right,M,19,3.7M €,14,6,46,0,0.0,0.7,1,0,27.6,4,1.1,11.4 (79%),3.2 (83%),9.9 (60%),0.3 (25%),0.6 (41%),1.8 (30%),0.2,0.4,0.2,0.3,0.2,0,0,0,0.7 (77%),1.4 (37%),1.3 (41%),0.1 (14%),9.9,0.2,0.2,0.4,0,0,0,
unai-lopez,Athletic Bilbao,ESP,24,169 cm,Right,M,8,3.1M €,17,16,68,1,1154 min,0.06,0.8,0,3,55.5,3,1.3,36.6 (87%),17.7 (94%),20.2 (74%),3.5 (62%),2.4 (53%),1.4 (34%),0.8,0.9,0.2,1.3,0.5,1,0,0,0.5 (67%),3.1 (39%),2.1 (37%),1.0 (46%),10.3,1.4,0.7,0.1,6,0,0
mikel-vesga,Athletic Bilbao,ESP,26,191 cm,Left,M,16,2.9M €,9,7,76,0,0.0,0.7,1,0,44.4,0,0.3,26.2 (80%),11.7 (83%),14.8 (76%),1.0 (32%),1.2 (48%),0.2 (33%),1.3,1.1,0.1,2.1,1.0,0,0,0,0.2 (50%),3.8 (40%),1.8 (29%),2.0 (60%),9.4,1.6,0.4,0.0,2,0,0,
benat-etxebarria,Athletic Bilbao,ESP,33,175 cm,Right,M,7,2.8M €,11,3,36,0,0.0,0.4,0,0,22.0,1,0.9,13.7 (84%),6.6 (94%),8.1 (74%),1.2 (52%),1.3 (54%),1.0 (55%),0.4,0.5,0.1,1.0,0.5,0,0,0,0.0 (0%),1.1 (36%),0.7 (33%),0.4 (44%),4.4,0.2,0.2,0.0,0,0,0,
gaizka-larrazabal,Athletic Bilbao,ESP,22,179 cm,Right,M,12,2.4M €,9,1,22,0,0.0,0.1,0,0,10.3,0,0.1,2.9 (60%),0.8 (70%),2.4 (49%),0.1 (25%),0.0 (0%),0.3 (25%),0.0,0.2,0.0,0.0,0.0,0,0,0,0.2 (29%),1.3 (40%),0.8 (37%),0.6 (45%),5.0,0.7,0.3,0.1,0,0,0,
unai-vencedor,Athletic Bilbao,ESP,20,176 cm,Right,M,27,280K €,1,1,74,0,0.0,0.0,0,0,44.0,0,1.0,31.0 (86%),16.0 (94%),17.0 (74%),4.0 (80%),3.0 (50%),2.0 (50%),0.0,0.0,0.0,0.0,0.0,0,0,0,0.0 (0%),1.0 (33%),1.0 (100%),0.0 (0%),8.0,0.0,1.0,0.0,1,0,0,
inigo-martinez,Athletic Bilbao,ESP,28,181 cm,Left,D,4,33M €,24,24,90,0,0.0,0.8,1,1,61.2,1,0.4,36.0 (78%),21.6 (87%),14.7 (67%),6.4 (53%),4.1 (56%),0.2 (36%),1.3,1.5,0.1,0.6,4.3,0,0,0,0.2 (56%),6.8 (67%),2.8 (62%),4.0 (71%),12.6,1.0,1.3,0.1,7,0,0,
yeray-alvarez,Athletic Bilbao,ESP,25,183 cm,Right,D,5,31M €,25,25,90,0,0.0,0.3,0,0,59.3,1,0.2,36.1 (78%),23.2 (86%),13.0 (65%),3.8 (42%),1.5 (38%),0.1 (20%),1.9,1.1,0.1,0.4,3.9,2,0,1,0.4 (75%),5.6 (63%),2.2 (64%),3.4 (62%),11.7,0.6,1.0,0.0,2,0,0,
yuri-berchiche,Athletic Bilbao,ESP,30,181 cm,Left,D,17,18.2M €,24,24,90,2,1080 min,0.08,0.7,0,1,68.4,2,1.0,32.4 (82%),14.0 (85%),19.0 (72%),2.7 (61%),1.4 (54%),0.6 (18%),0.9,1.6,0.5,0.4,2.0,0,0,1,1.4 (60%),6.5 (63%),4.8 (61%),1.8 (67%),14.8,1.0,1.8,0.1,4,0,0
unai-nunez,Athletic Bilbao,ESP,23,186 cm,Right,D,3,14.2M €,5,5,79,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ander-capa,Athletic Bilbao,ESP,27,173 cm,Right,D,21,7.7M €,5,4,75,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oscar-de-marcos,Athletic Bilbao,ESP,30,180 cm,Right,D,18,3.9M €,4,3,47,0,0.0,0.0,0,0,18.3,0,0.0,8.8 (65%),2.0 (62%),7.3 (60%),0.0 (0%),0.3 (33%),0.5 (29%),0.0,0.0,0.5,0.8,0.0,0,0,0,0.0 (0%),1.5 (40%),0.5 (25%),1.0 (57%),7.0,0.3,0.8,0.5,0,0,0,
mikel-balenziaga,Athletic Bilbao,ESP,32,176 cm,Left,D,24,1.9M €,3,3,90,0,0.0,0.0,0,0,58.0,1,0.3,24.0 (74%),11.3 (79%),12.7 (61%),1.7 (42%),1.0 (27%),0.0 (0%),0.0,4.0,1.0,0.3,2.7,0,0,0,0.7 (100%),6.7 (74%),5.3 (73%),1.3 (80%),15.0,1.0,0.7,0.0,1,0,0,
inigo-lekue,Athletic Bilbao,ESP,26,180 cm,Right,D,15,1.9M €,10,4,42,0,0.0,0.1,0,1,30.5,1,0.5,10.2 (76%),4.5 (88%),6.2 (57%),0.5 (33%),0.3 (50%),0.5 (19%),0.1,1.9,0.2,0.2,1.0,0,0,1,0.8 (28%),3.3 (42%),2.8 (43%),0.5 (38%),10.9,0.9,0.1,0.1,0,0,0,
jon-agirrezabala,Barakaldo CF,ESP,24,173 cm,Right,D,26,215K €,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
jon-sillero,Athletic Bilbao,ESP,21,177 cm,Right,D,28,180K €,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
unai-simon,Athletic Bilbao,ESP,22,189 cm,Right,G,1,9.7M €,24,24,90,0,0.0,0.0,0,0,36.2,0,0.0,15.4 (55%),8.1 (81%),7.3 (41%),10.0 (45%),2.0 (55%),0.0 (0%),0.0,0.0,0.0,0.0,0.4,0,1,0,0.0 (0%),0.4 (75%),0.1 (40%),0.3 (100%),12.8,0.0,0.1,0.0,2,0,0,
iago-herrerin,Athletic Bilbao,ESP,32,188 cm,Right,G,13,3.2M €,3,3,90,0,0.0,0.0,0,0,39.3,0,0.0,13.7 (47%),8.0 (67%),5.7 (33%),10.0 (39%),5.3 (53%),0.0 (0%),0.0,0.0,0.0,0.0,0.7,0,0,0,0.0 (0%),0.7 (100%),0.0 (0%),0.7 (100%),15.7,0.0,0.0,0.0,0,0,0,
joao-felix,Atlético Madrid,POR,20,178 cm,Right,F,7,97M €,5,4,79,2,197 min,0.4,2.8,0,1,37.6,1,1.4,21.0 (83%),5.2 (81%),15.8 (81%),0.0 (0%),0.8 (80%),0.0 (0%),0.2,0.2,0.8,0.6,0.2,0,0,0,0.8 (50%),4.2 (55%),3.6 (67%),0.6 (27%),8.4,0.4,2.6,0.4,0,0,0
alvaro-morata,Atlético Madrid,ESP,27,189 cm,Right,F,9,52M €,7,5,67,3,156 min,0.4,1.6,5,1,29.7,0,0.4,9.9 (67%),2.6 (75%),7.3 (59%),0.1 (33%),0.4 (60%),0.0 (0%),0.6,0.7,0.7,0.3,0.3,0,0,0,0.7 (71%),6.1 (42%),3.3 (49%),2.9 (36%),10.6,1.4,1.9,1.4,2,0,0
diego-costa,Atlético Madrid,ESP,31,187 cm,Right,F,19,18.8M €,6,5,65,0,0.0,0.8,2,1,22.2,1,0.3,9.8 (72%),2.7 (94%),7.2 (65%),0.3 (100%),0.5 (75%),0.0 (0%),0.0,0.0,0.7,0.2,1.2,0,0,0,0.5 (100%),3.2 (35%),1.2 (30%),2.0 (38%),7.2,1.0,0.7,0.3,1,0,0,
ivan-saponjic,Atlético Madrid,SRB,22,192 cm,Right,F,17,1.6M €,1,0,11,0,0.0,1.0,1,0,2.0,0,0.0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0,0.0,0.0,0.0,0.0,0,0,0,0.0 (0%),1.0 (100%),0.0 (0%),1.0 (100%),1.0,0.0,0.0,0.0,0,0,0,
saul-niguez,Atlético Madrid,ESP,25,184 cm,Left,M,8,85M €,8,8,94,1,750 min,0.1,1.6,0,0,69.1,0,0.9,40.8 (79%),15.4 (84%),25.4 (76%),2.4 (58%),1.5 (48%),0.0 (0%),1.6,2.0,1.1,1.1,2.5,0,0,0,1.4 (61%),8.3 (62%),3.9 (53%),4.4 (71%),14.1,1.0,0.5,0.1,2,0,0
koke,Atlético Madrid,ESP,28,177 cm,Right,M,6,55M €,8,8,89,0,0.0,0.1,0,1,72.5,1,1.9,51.0 (87%),17.3 (88%),34.5 (84%),1.6 (59%),2.5 (65%),0.8 (35%),0.9,2.0,0.9,2.1,1.4,1,0,0,0.9 (88%),4.8 (49%),4.1 (51%),0.6 (42%),11.6,0.8,1.3,0.0,1,0,0,
thomas-partey,Atlético Madrid,GHA,26,185 cm,Right,M,5,48M €,8,8,92,1,736 min,0.1,1.5,0,1,80.0,1,1.6,52.3 (85%),20.0 (86%),32.6 (83%),5.0 (67%),4.8 (72%),0.4 (50%),1.5,3.6,0.9,1.6,1.0,0,0,0,1.9 (88%),8.3 (66%),6.4 (65%),1.9 (71%),13.3,1.0,0.9,0.0,1,0,0
